step,mloss,gloss,loss
48800,0.2973,0.8301,1.1274
48900,0.2977,0.83,1.1277
49000,0.2995,0.8295,1.129
49100,0.299,0.8284,1.1274
49200,0.2979,0.8279,1.1258
49300,0.2971,0.828,1.1251
49400,0.2985,0.8285,1.127
49500,0.2977,0.829,1.1267
49600,0.2966,0.8291,1.1257
49700,0.297,0.8276,1.1246
49800,0.2979,0.8287,1.1266
49900,0.2968,0.8285,1.1253
50000,0.2974,0.8284,1.1258
50100,0.2969,0.8298,1.1267
50200,0.297,0.8288,1.1258
50300,0.2975,0.8297,1.1272
50400,0.2959,0.8284,1.1243
50500,0.2979,0.8304,1.1283
50600,0.2964,0.8276,1.124
50700,0.2967,0.8314,1.1281
50800,0.2972,0.8307,1.1279
50900,0.2978,0.8272,1.125
51000,0.2973,0.8294,1.1267
51100,0.299,0.8291,1.1280999999999999
51200,0.2966,0.8302,1.1268
51300,0.2983,0.829,1.1273
51400,0.2964,0.8298,1.1261999999999999
51500,0.2967,0.8296,1.1263
51600,0.2962,0.8279,1.1240999999999999
51700,0.2977,0.8294,1.1271
51800,0.2971,0.8288,1.1259
51900,0.298,0.8291,1.1271
52000,0.2965,0.8282,1.1247
52100,0.297,0.8285,1.1255
52200,0.2972,0.8295,1.1267
52300,0.2971,0.8291,1.1261999999999999
52400,0.2965,0.828,1.1244999999999998
52500,0.2959,0.8287,1.1246
52600,0.2977,0.8289,1.1266
52700,0.2987,0.8274,1.1261
52800,0.2984,0.8298,1.1282
52900,0.2984,0.83,1.1284
53000,0.2981,0.8297,1.1278
53100,0.2978,0.8288,1.1266
53200,0.2977,0.8282,1.1259000000000001
53300,0.2979,0.8288,1.1267
53400,0.2981,0.8273,1.1254
53500,0.2961,0.8298,1.1259
53600,0.2962,0.827,1.1232
53700,0.2974,0.8277,1.1251
53800,0.2968,0.8292,1.1260000000000001
53900,0.2978,0.8283,1.1261
54000,0.2973,0.8288,1.1261
54100,0.2961,0.829,1.1251
54200,0.2983,0.8292,1.1275
54300,0.2977,0.8275,1.1252
54400,0.2981,0.8283,1.1264
54500,0.2958,0.8283,1.1241
54600,0.2974,0.8283,1.1257000000000001
54700,0.2962,0.8265,1.1227
54800,0.2975,0.8279,1.1254
54900,0.2986,0.8289,1.1275
55000,0.2974,0.8287,1.1261
55100,0.298,0.8282,1.1262
55200,0.2971,0.8284,1.1255
55300,0.2984,0.8284,1.1268
55400,0.298,0.8284,1.1264
55500,0.2954,0.8294,1.1248
55600,0.297,0.8299,1.1269
55700,0.2969,0.828,1.1249
55800,0.2966,0.829,1.1256
55900,0.2966,0.8279,1.1244999999999998
56000,0.2965,0.8285,1.125
56100,0.2982,0.8288,1.127
56200,0.2964,0.8293,1.1257000000000001
56300,0.2976,0.828,1.1256
56400,0.2971,0.8272,1.1243
56500,0.2961,0.8278,1.1239
56600,0.2972,0.8269,1.1240999999999999
56700,0.2959,0.8286,1.1245
56800,0.297,0.8312,1.1282
56900,0.2986,0.8293,1.1279
57000,0.2987,0.8279,1.1266
57100,0.2966,0.8286,1.1252
57200,0.2983,0.8281,1.1263999999999998
57300,0.2964,0.8282,1.1246
57400,0.298,0.8284,1.1264
57500,0.2978,0.8286,1.1264
57600,0.2976,0.8274,1.125
57700,0.2964,0.8278,1.1242
57800,0.2971,0.8275,1.1246
57900,0.2987,0.8301,1.1288
58000,0.2967,0.8288,1.1255
58100,0.2972,0.8283,1.1255000000000002
58200,0.2975,0.8281,1.1256
58300,0.2975,0.8285,1.126
58400,0.2977,0.8281,1.1258
58500,0.2971,0.8283,1.1254
58600,0.2976,0.8283,1.1259000000000001
58700,0.2969,0.8281,1.125
58800,0.2952,0.8285,1.1237
58900,0.2968,0.8294,1.1262
59000,0.2967,0.829,1.1257
59100,0.297,0.8284,1.1254
59200,0.297,0.8277,1.1247
59300,0.2988,0.8304,1.1292
59400,0.2987,0.8282,1.1269
59500,0.2968,0.8299,1.1267
59600,0.2968,0.829,1.1258
59700,0.2968,0.831,1.1278
59800,0.2984,0.8278,1.1261999999999999
59900,0.297,0.8266,1.1236
60000,0.2961,0.8276,1.1237
60100,0.2981,0.8286,1.1267
60200,0.2979,0.8283,1.1262
60300,0.2966,0.8283,1.1249
60400,0.2974,0.8291,1.1265
60500,0.2965,0.829,1.1255
60600,0.2965,0.8288,1.1253
60700,0.2966,0.8298,1.1263999999999998
60800,0.2969,0.827,1.1239
60900,0.2984,0.8274,1.1258
61000,0.298,0.828,1.126
61100,0.2967,0.828,1.1247
61200,0.2967,0.828,1.1247
61300,0.2974,0.8293,1.1267
61400,0.2991,0.8287,1.1278
61500,0.2971,0.8265,1.1236
61600,0.2972,0.8297,1.1269
61700,0.2978,0.8278,1.1256
61800,0.2981,0.8273,1.1254
61900,0.2965,0.8287,1.1252
62000,0.2982,0.8264,1.1246
62100,0.299,0.8297,1.1287
62200,0.2972,0.8286,1.1258
62300,0.2983,0.8281,1.1263999999999998
62400,0.2968,0.828,1.1248
62500,0.2956,0.827,1.1225999999999998
62600,0.298,0.8287,1.1267
62700,0.2968,0.8294,1.1262
62800,0.296,0.8268,1.1228
62900,0.2962,0.8296,1.1258
63000,0.296,0.829,1.125
63100,0.2959,0.8286,1.1245
63200,0.2973,0.8278,1.1251
63300,0.2985,0.8289,1.1274
63400,0.2985,0.8263,1.1248
63500,0.2971,0.8281,1.1252
63600,0.298,0.8291,1.1271
63700,0.2965,0.8285,1.125
63800,0.2977,0.8272,1.1249
63900,0.2986,0.8279,1.1265
64000,0.2985,0.8279,1.1263999999999998
64100,0.2971,0.8291,1.1261999999999999
64200,0.2967,0.8284,1.1251
64300,0.2968,0.8287,1.1255
64400,0.2977,0.829,1.1267
64500,0.297,0.8292,1.1262
64600,0.2965,0.828,1.1244999999999998
64700,0.2962,0.8279,1.1240999999999999
64800,0.2966,0.8293,1.1259000000000001
64900,0.2971,0.8279,1.125
65000,0.2961,0.8287,1.1248
65100,0.2967,0.8298,1.1265
65200,0.2967,0.828,1.1247
65300,0.2984,0.8276,1.126
65400,0.297,0.829,1.126
65500,0.2966,0.8288,1.1254
65600,0.2969,0.8275,1.1244
65700,0.2957,0.8266,1.1223
65800,0.297,0.8275,1.1245
65900,0.297,0.8289,1.1259
66000,0.297,0.8274,1.1244
66100,0.2979,0.8272,1.1251
66200,0.2968,0.8288,1.1256
66300,0.2977,0.8274,1.1251
66400,0.2963,0.8272,1.1235
66500,0.2968,0.8286,1.1254
66600,0.2964,0.8279,1.1242999999999999
66700,0.2973,0.8273,1.1246
66800,0.2955,0.8289,1.1244
66900,0.2957,0.8267,1.1224
67000,0.297,0.8293,1.1263
67100,0.2962,0.8282,1.1244
67200,0.2972,0.8279,1.1251
67300,0.2959,0.8274,1.1233
67400,0.2967,0.8278,1.1245
67500,0.2973,0.8267,1.124
67600,0.2967,0.8293,1.1260000000000001
67700,0.2967,0.8252,1.1219000000000001
67800,0.2981,0.828,1.1260999999999999
67900,0.2983,0.8303,1.1286
68000,0.2956,0.8277,1.1233
68100,0.2967,0.8284,1.1251
68200,0.298,0.8288,1.1268
68300,0.2971,0.8267,1.1238
68400,0.2977,0.829,1.1267
68500,0.2983,0.8285,1.1268
68600,0.297,0.8283,1.1253
68700,0.297,0.828,1.125
68800,0.2966,0.8294,1.126
68900,0.2964,0.8288,1.1252
69000,0.2961,0.8283,1.1244
69100,0.2968,0.8273,1.1241
69200,0.2971,0.8279,1.125
69300,0.2965,0.8285,1.125
69400,0.2961,0.8276,1.1237
69500,0.2969,0.8273,1.1242
69600,0.297,0.8287,1.1257
69700,0.2975,0.8276,1.1251
69800,0.2966,0.8269,1.1235
69900,0.2974,0.8286,1.126
70000,0.2978,0.8302,1.1280000000000001
70100,0.2968,0.8272,1.124
70200,0.2966,0.8288,1.1254
70300,0.2968,0.8269,1.1237
70400,0.2968,0.8292,1.1260000000000001
70500,0.2969,0.8276,1.1245
70600,0.2968,0.8286,1.1254
70700,0.2985,0.8287,1.1272
70800,0.2984,0.8285,1.1269
70900,0.2968,0.8296,1.1264
71000,0.2964,0.8289,1.1253
71100,0.2965,0.8298,1.1263
71200,0.2959,0.8281,1.1239999999999999
71300,0.2968,0.8283,1.1251
71400,0.2949,0.8279,1.1228
